ECR_ID,Product_Type,Component_Name,Change_Type,Change_Complexity,Supplier_Criticality,Past_Similar_Changes,Team_Experience_Level,BOM_Depth,Urgency,Approval_Time_Days,Parts_Affected,Risk_Score
ECR_1000,Chassis,Frame,Process,3,4,2,5,4,Low,14,10,0.3504209625170917
ECR_1001,Display,Connector,Process,5,5,1,5,3,High,16,7,0.3832948426722663
ECR_1002,PCB,Cell,Process,5,5,3,4,3,Medium,19,8,0.3860810531526066
ECR_1003,Display,Valve,Design,5,5,0,5,7,High,11,14,0.3852859512905652
ECR_1004,Display,Controller,Supplier,8,1,2,2,2,Medium,14,6,0.33782911765564383
ECR_1005,Battery,Sensor,Design,9,2,1,3,1,Low,20,6,0.3618119083109932
ECR_1006,PCB,Sensor,Supplier,9,1,3,4,2,High,17,11,0.34607637704505956
ECR_1007,PCB,Valve,Process,6,3,1,3,1,Medium,16,4,0.3569255600079164
ECR_1008,PCB,Controller,Supplier,6,2,0,3,6,Low,12,14,0.36876950793292573
ECR_1009,Display,Valve,Design,9,4,2,2,3,Medium,25,8,0.38339556781192774
ECR_1010,Chassis,Cell,Design,4,5,3,5,7,High,14,14,0.39472350692610414
ECR_1011,PCB,Connector,Process,6,3,1,2,5,High,15,14,0.3698168754647102
ECR_1012,Display,Sensor,Design,4,2,2,5,5,Medium,11,11,0.34972979091359896
ECR_1013,Battery,Cell,Process,1,1,1,4,4,Low,2,9,0.3226431011110922
ECR_1014,Chassis,Connector,Design,7,5,3,2,2,Low,25,6,0.38396047665181304
ECR_1015,Battery,Cell,Design,10,1,2,2,2,Low,16,10,0.3600116946186101
ECR_1016,Chassis,Controller,Process,6,2,1,1,5,Low,15,12,0.371775340636685
ECR_1017,Display,Sensor,Supplier,9,2,4,2,1,Medium,18,7,0.35682315476981896
ECR_1018,Engine,Valve,Design,7,3,0,1,2,High,16,9,0.3664643655096549
ECR_1019,Chassis,Valve,Supplier,7,4,7,5,1,Medium,19,6,0.37132531291331866
ECR_1020,Battery,Connector,Design,2,1,2,5,1,High,4,3,0.3134251582800149
ECR_1021,Display,Frame,Design,9,3,4,5,1,High,18,7,0.36236240699885497
ECR_1022,Chassis,Controller,Design,10,5,3,1,1,Medium,23,6,0.39548459431663197
ECR_1023,Engine,Connector,Design,9,4,3,5,7,Medium,18,17,0.40722920514768723
ECR_1024,Engine,Frame,Supplier,6,3,6,3,4,Low,18,10,0.3585564655735697
ECR_1025,PCB,Cell,Supplier,3,1,1,2,4,High,8,9,0.3350684052816641
ECR_1026,PCB,Controller,Design,1,2,0,1,7,Low,12,18,0.33686901314565065
ECR_1027,Battery,Cell,Design,4,5,3,5,5,Low,15,11,0.38323791645866
ECR_1028,Chassis,Sensor,Supplier,3,1,1,3,4,Medium,10,9,0.3272394622955577
ECR_1029,Chassis,Controller,Process,1,4,0,2,6,Low,11,11,0.3608163174280896
ECR_1030,PCB,Frame,Process,3,4,0,2,7,Low,15,13,0.36802938547625685
ECR_1031,Chassis,Sensor,Supplier,4,2,1,5,2,Low,10,5,0.3313803863716611
ECR_1032,Chassis,Valve,Design,8,2,3,3,6,Medium,15,19,0.37238262242103104
ECR_1033,Engine,Frame,Design,9,5,5,1,7,Low,28,17,0.4142385639223355
ECR_1034,PCB,Connector,Process,3,5,1,5,4,Low,17,11,0.3670263179102251
ECR_1035,Display,Valve,Process,6,2,4,2,2,Medium,17,6,0.34673921114484185
ECR_1036,PCB,Valve,Supplier,10,2,3,2,2,Medium,18,8,0.36738485552243255
ECR_1037,Display,Connector,Process,5,4,2,2,1,Medium,21,6,0.35276735183620583
ECR_1038,Engine,Controller,Supplier,6,2,2,5,5,High,12,13,0.36019524671573333
ECR_1039,Battery,Valve,Process,4,3,1,4,1,Medium,15,3,0.34265777171680395
ECR_1040,Chassis,Frame,Process,10,1,3,4,7,High,17,17,0.36877731082608556
ECR_1041,Engine,Sensor,Process,6,2,3,4,1,Medium,11,1,0.3422108153656295
ECR_1042,Chassis,Valve,Design,7,5,6,3,6,Medium,23,16,0.39679140911595784
ECR_1043,Battery,Frame,Design,9,3,2,5,4,Medium,24,13,0.36668111991176966
ECR_1044,Battery,Cell,Design,10,5,2,2,6,High,23,16,0.413040889238096
ECR_1045,Engine,Frame,Process,7,3,2,3,4,Low,16,14,0.3649610447295613
ECR_1046,Battery,Sensor,Supplier,6,2,2,4,6,Medium,15,14,0.3626536892746277
ECR_1047,Display,Frame,Supplier,1,1,3,1,2,High,4,5,0.312335277827379
ECR_1048,Battery,Connector,Supplier,2,5,3,3,4,Medium,14,6,0.3692524522594577
ECR_1049,Chassis,Sensor,Supplier,1,3,2,3,4,Low,13,7,0.34644806307169895
ECR_1050,Chassis,Controller,Design,9,4,3,5,6,High,21,12,0.40675354301793853
ECR_1051,Chassis,Cell,Design,10,2,2,3,3,Medium,14,11,0.36481732874217915
ECR_1052,Chassis,Connector,Process,10,1,1,5,2,Medium,14,8,0.3610499393513872
ECR_1053,Display,Controller,Process,9,2,1,1,7,Medium,24,20,0.3788833776544219
ECR_1054,PCB,Frame,Supplier,7,4,2,2,2,Low,22,9,0.37529014456572174
ECR_1055,Engine,Sensor,Design,2,1,1,2,7,High,4,13,0.3428552741716986
ECR_1056,Chassis,Cell,Supplier,6,4,3,4,3,Medium,17,10,0.3708533664915486
ECR_1057,Battery,Connector,Process,4,2,3,4,6,Medium,9,12,0.3505686442455887
ECR_1058,Chassis,Controller,Process,1,3,1,1,6,High,5,14,0.3559877395153679
ECR_1059,Battery,Controller,Supplier,1,2,4,2,2,Low,11,3,0.3149618642837951
ECR_1060,Battery,Cell,Process,5,2,4,4,6,Low,15,13,0.35988710282218195
ECR_1061,Chassis,Frame,Supplier,2,2,2,3,5,Low,10,13,0.3403397241724325
ECR_1062,Display,Cell,Design,4,5,2,5,5,Low,12,11,0.37151085359688596
ECR_1063,Battery,Controller,Supplier,1,4,5,4,7,Low,15,16,0.3657449794591271
ECR_1064,Battery,Valve,Design,4,4,2,1,3,Medium,21,7,0.35452311871480197
ECR_1065,Chassis,Connector,Design,6,4,5,2,4,Medium,23,11,0.38220415299412436
ECR_1066,Battery,Cell,Process,10,5,3,1,5,Medium,28,17,0.4235192676402481
ECR_1067,Battery,Controller,Process,4,3,3,5,7,High,10,16,0.36633098797578384
